company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,year,month,layoff_size,funding_category
Lusha,Boston,24.0,2025-12-10,0.08,Sales,https://www.calcalistech.com/ctechnews/article/sybqqlwm11g,Series B,245.0,United States,12/12/2025,2025,12,Small,High
Tenstorrent,"Toronto, Non-U.S.",80.0,2025-12-09,0.07,Hardware,https://www.eetimes.com/layoffs-at-tenstorrent-as-startup-pivots-towards-developer-sales/,Series D,1000.0,Canada,12/12/2025,2025,12,Small,High
VSCO,SF Bay Area,24.0,2025-12-09,,Consumer,https://techcrunch.com/2025/12/09/vsco-lays-off-24-staff-as-its-consumer-business-suffers/,Series B,90.0,United States,12/10/2025,2025,12,Small,Medium
Mobileye,"Jerusalem, Non-U.S.",200.0,2025-12-08,0.04,Transportation,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,Post-IPO,2100.0,Israel,12/8/2025,2025,12,Medium,Very High
Payoneer,New York City,60.0,2025-12-08,0.06,Finance,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,Post-IPO,0.0,United States,12/8/2025,2025,12,Small,
Cellebrite,"Tel Aviv, Non-U.S.",20.0,2025-12-03,0.01,Other,https://www.calcalistech.com/ctechnews/article/izmghyvm1,Post-IPO,410.0,Israel,12/8/2025,2025,12,Small,High
Aqua Security,"Tel Aviv, Non-U.S.",20.0,2025-12-01,,Security,https://www.calcalistech.com/ctechnews/article/4bzp62ggf,Series E,325.0,United States,12/2/2025,2025,12,Small,High
Junglee Games,"New Delhi, Non-U.S.",350.0,2025-11-26,,Consumer,https://inc42.com/buzz/junglee-games-parent-flutter-sheds-350-jobs-in-post-rmg-ban-recast/,Seed,3.0,India,12/9/2025,2025,11,Medium,Low
HP,SF Bay Area,4000.0,2025-11-25,,Hardware,https://www.wsj.com/tech/hp-to-cut-up-to-10-of-workforce-as-part-of-ai-push-a2c198da?mod=hp_lead_pos4,Post-IPO,0.0,United States,3/1/2025,2025,11,Large,
ezCater,Boston,40.0,2025-11-21,0.04,Food,https://www.bizjournals.com/boston/news/2025/11/21/ezcater-tech-layoffs.html,Series D,319.0,United States,11/23/2025,2025,11,Small,High
Monarch Tractor,SF Bay Area,102.0,2025-11-19,,Other,https://techcrunch.com/2025/11/19/monarch-tractor-preps-for-layoffs-and-warns-employees-it-may-shut-down/,Unknown,214.0,United States,11/23/2025,2025,11,Medium,High
Pleo,"Copenhagen, Non-U.S.",100.0,2025-11-19,0.12,Finance,https://tech.eu/2025/11/19/expense-management-firm-pleo-hit-by-layoffs/,Series C,428.0,Denmark,11/23/2025,2025,11,Small,High
UKG,"Montevideo, Non-U.S.",300.0,2025-11-18,,HR,https://www.elobservador.com.uy/cafe-y-negocios/la-multinacional-ukg-cierra-sus-operaciones-uruguay-y-despide-300-profesionales-n6025098,Unknown,0.0,Uruguay,11/23/2025,2025,11,Medium,
Culture Amp,"Melbourne, Non-U.S.",60.0,2025-11-18,0.06,HR,https://www.capitalbrief.com/article/culture-amp-lays-off-6-of-its-staff-globally-as-it-focuses-on-new-ai-products-3d5073ac-879a-4e01-9a08-a513ead8834b/,Series F,257.0,Australia,11/23/2025,2025,11,Small,High
Playtika,"Tel Aviv, Non-U.S.",700.0,2025-11-17,0.2,Consumer,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,Post-IPO,0.0,Israel,11/23/2025,2025,11,Medium,
Pipe,SF Bay Area,200.0,2025-11-16,0.5,Finance,https://fintechbusinessweekly.substack.com/p/celtic-bank-faces-another-lawsuit,Series D,453.0,United States,11/17/2025,2025,11,Medium,High
Flipkart,"Bengaluru, Non-U.S.",40.0,2025-11-16,,Retail,https://www.calcalistech.com/ctechnews/article/sk7ktewxwg,Acquired,12900.0,India,11/17/2025,2025,11,Small,Very High
BharatAgri,"Mumbai, Non-U.S.",37.0,2025-11-13,1.0,Food,https://inc42.com/buzz/agritech-startup-bharatagri-shuts-operations-due-to-funding-crunch/,Series A,21.0,India,12/9/2025,2025,11,Small,Low
Synopsys,SF Bay Area,2000.0,2025-11-12,0.1,Other,https://www.reuters.com/business/world-at-work/synopsys-cut-about-10-its-workforce-2025-11-12/,Post-IPO,0.0,United States,11/14/2025,2025,11,Large,
Deepwatch,Tampa Bay,80.0,2025-11-12,0.32,Security,https://techcrunch.com/2025/11/12/cybersecurity-firm-deepwatch-lays-off-dozens-citing-move-to-accelerate-ai-investment/,Series C,256.0,United States,11/14/2025,2025,11,Small,High
GamesKraft,"Bengaluru, Non-U.S.",280.0,2025-11-10,,Consumer,https://inc42.com/buzz/real-money-gaming-ban-gameskrafts-layoff-count-climbs-to-400/,Unknown,0.0,India,11/11/2025,2025,11,Medium,
Axonius,New York City,100.0,2025-11-06,0.11,Security,https://www.calcalistech.com/ctechnews/article/sj0syry1wg,Series E,865.0,United States,11/7/2025,2025,11,Small,High
MyBambu,Memphis,141.0,2025-11-05,1.0,Finance,https://cbs12.com/news/local/new-west-palm-beach-fintech-firm-to-lay-off-141-employees-amid-funding-collapse-layoff-south-florida-palm-beach-county-downtown-west-palm-beach-news-mybambu-a-fintech-startup-2751-s-dixie-hwy-420-november-5-2025,Unknown,15.0,United States,11/7/2025,2025,11,Medium,Low
